,parental level of education,math score,reading score,writing score,average_score,parental_education_n
0,high school,67,67,63,65.67,2
1,some high school,40,59,55,51.33,1
2,some college,59,60,50,56.33,3
3,high school,77,78,68,74.33,2
4,associate's degree,78,73,68,73.0,4
5,high school,63,77,76,72.0,2
6,bachelor's degree,62,59,63,61.33,5
7,some college,93,88,84,88.33,3
8,high school,63,56,65,61.33,2
9,some college,47,42,45,44.67,3
10,some college,99,83,85,89.0,3
11,high school,80,87,90,85.67,2
12,associate's degree,77,87,85,83.0,4
13,high school,74,74,73,73.67,2
14,some high school,81,87,85,84.33,1
15,associate's degree,69,61,57,62.33,4
16,high school,58,47,42,49.0,2
17,associate's degree,54,62,65,60.33,4
18,associate's degree,23,44,44,37.0,4
19,some college,39,32,31,34.0,3
20,associate's degree,83,76,88,82.33,4
21,associate's degree,58,52,55,55.0,4
22,some college,71,69,73,71.0,3
23,some college,44,55,54,51.0,3
24,some high school,46,38,32,38.67,1
25,high school,51,45,42,46.0,2
26,some high school,53,60,56,56.33,1
27,high school,71,68,60,66.33,2
28,high school,74,89,89,84.0,2
29,some high school,33,54,51,46.0,1
30,some college,87,79,77,81.0,3
31,bachelor's degree,78,74,73,75.0,5
32,some high school,40,41,39,40.0,1
33,associate's degree,65,65,71,67.0,4
34,bachelor's degree,79,88,89,85.33,5
35,bachelor's degree,68,74,74,72.0,5
36,some college,57,77,75,69.67,3
37,high school,67,65,54,62.0,2
38,some college,58,68,73,66.33,3
39,associate's degree,98,81,77,85.33,4
40,master's degree,54,75,72,67.0,6
41,high school,77,67,64,69.33,2
42,high school,87,79,82,82.67,2
43,master's degree,58,70,70,66.0,6
44,high school,100,88,87,91.67,2
45,bachelor's degree,60,46,51,52.33,5
46,associate's degree,64,63,57,61.33,4
47,some high school,65,76,78,73.0,1
48,high school,68,72,73,71.0,2
49,associate's degree,60,63,57,60.0,4
50,high school,65,68,64,65.67,2
51,some high school,52,58,60,56.67,1
52,associate's degree,74,81,85,80.0,4
53,high school,36,53,49,46.0,2
54,high school,57,57,47,53.67,2
55,some college,56,60,62,59.33,3
56,bachelor's degree,67,80,84,77.0,5
57,associate's degree,88,87,83,86.0,4
58,some college,42,61,51,51.33,3
59,some high school,68,51,48,55.67,1
60,some college,76,66,68,70.0,3
61,some high school,58,63,59,60.0,1
62,some high school,69,67,62,66.0,1
63,bachelor's degree,77,82,78,79.0,5
64,master's degree,83,93,97,91.0,6
65,some high school,49,74,70,64.33,1
66,high school,71,60,56,62.33,2
67,some high school,47,46,49,47.33,1
68,high school,79,64,60,67.67,2
69,high school,60,64,57,60.33,2
70,associate's degree,56,68,73,65.67,4
71,associate's degree,57,52,47,52.0,4
72,some college,49,70,63,60.67,3
73,some high school,79,76,81,78.67,1
74,master's degree,71,76,67,71.33,6
75,high school,71,77,70,72.67,2
76,some college,47,63,59,56.33,3
77,high school,72,91,81,81.33,2
78,associate's degree,78,73,76,75.67,4
79,some high school,54,43,45,47.33,1
80,bachelor's degree,46,59,62,55.67,5
81,some high school,31,38,42,37.0,1
82,associate's degree,51,59,59,56.33,4
83,high school,78,76,73,75.67,2
84,associate's degree,32,41,39,37.33,4
85,some high school,53,71,69,64.33,1
86,some college,63,76,69,69.33,3
87,some college,97,93,88,92.67,3
88,some college,56,52,61,56.33,3
89,high school,72,76,72,73.33,2
90,some college,57,47,42,48.67,3
91,some high school,74,71,70,71.67,1
92,master's degree,81,81,87,83.0,6
93,bachelor's degree,94,87,93,91.33,5
94,master's degree,81,73,72,75.33,6
95,high school,58,63,67,62.67,2
96,associate's degree,95,100,100,98.33,4
97,high school,45,52,49,48.67,2
98,some college,63,50,49,54.0,3
99,associate's degree,60,54,53,55.67,4
100,some college,54,61,62,59.0,3
101,some college,75,78,79,77.33,3
102,high school,79,78,77,78.0,2
103,high school,66,67,67,66.67,2
104,some college,47,58,58,54.33,3
105,bachelor's degree,70,78,82,76.67,5
106,high school,82,74,73,76.33,2
107,bachelor's degree,56,38,44,46.0,5
108,associate's degree,92,78,71,80.33,4
109,some college,30,33,33,32.0,3
110,some college,79,88,86,84.33,3
