race/ethnicity,test preparation course,math score,reading score,writing score,total
1,completed,67,67,63,197
4,none,40,59,55,154
5,none,59,60,50,169
2,none,77,78,68,223
5,completed,78,73,68,219
4,none,63,77,76,216
1,none,62,59,63,184
5,completed,93,88,84,265
4,none,63,56,65,184
3,none,47,42,45,134
5,completed,99,83,85,267
4,completed,80,87,90,257
4,completed,77,87,85,249
3,completed,74,74,73,221
5,completed,81,87,85,253
5,none,69,61,57,187
2,none,58,47,42,147
3,completed,54,62,65,181
3,none,23,44,44,111
3,none,39,32,31,102
3,none,83,76,88,247
3,none,58,52,55,165
2,completed,71,69,73,213
2,none,44,55,54,153
5,none,46,38,32,116
3,none,51,45,42,138
3,none,53,60,56,169
5,none,71,68,60,199
2,completed,74,89,89,252
1,none,33,54,51,138
2,none,87,79,77,243
1,none,78,74,73,225
1,completed,40,41,39,120
2,completed,65,65,71,201
2,completed,79,88,89,256
1,none,68,74,74,216
3,completed,57,77,75,209
2,none,67,65,54,186
2,completed,58,68,73,199
5,none,98,81,77,256
2,none,54,75,72,201
4,none,77,67,64,208
5,completed,87,79,82,248
3,none,58,70,70,198
5,none,100,88,87,275
3,none,60,46,51,157
3,none,64,63,57,184
5,completed,65,76,78,219
4,none,68,72,73,213
3,completed,60,63,57,180
4,none,65,68,64,197
3,none,52,58,60,170
3,none,74,81,85,240
3,none,36,53,49,138
4,none,57,57,47,161
3,completed,56,60,62,178
3,completed,67,80,84,231
4,completed,88,87,83,258
4,none,42,61,51,154
5,none,68,51,48,167
4,none,76,66,68,210
5,none,58,63,59,180
5,completed,69,67,62,198
1,completed,77,82,78,237
4,completed,83,93,97,273
3,completed,49,74,70,193
3,none,71,60,56,187
4,none,47,46,49,142
2,none,79,64,60,203
3,none,60,64,57,181
3,completed,56,68,73,197
3,none,57,52,47,156
2,none,49,70,63,182
3,completed,79,76,81,236
2,none,71,76,67,214
3,none,71,77,70,218
3,none,47,63,59,169
4,none,72,91,81,244
3,none,78,73,76,227
4,none,54,43,45,142
2,none,46,59,62,167
4,none,31,38,42,111
3,none,51,59,59,169
2,completed,78,76,73,227
2,none,32,41,39,112
3,none,53,71,69,193
3,none,63,76,69,208
4,none,97,93,88,278
4,none,56,52,61,169
2,none,72,76,72,220
3,none,57,47,42,146
2,none,74,71,70,215
4,none,81,81,87,249
4,completed,94,87,93,274
2,none,81,73,72,226
3,completed,58,63,67,188
5,completed,95,100,100,295
2,none,45,52,49,146
1,none,63,50,49,162
2,none,60,54,53,167
3,completed,54,61,62,177
3,completed,75,78,79,232
5,none,79,78,77,234
4,none,66,67,67,200
2,none,47,58,58,163
4,none,70,78,82,230
4,none,82,74,73,229
1,none,56,38,44,138
2,none,92,78,71,241
3,none,30,33,33,96
3,completed,79,88,86,253
4,none,41,52,47,140
3,none,63,82,71,216
1,none,43,34,33,110
4,none,77,76,74,227
2,completed,76,79,76,231
5,none,49,61,63,173
3,completed,59,57,55,171
2,none,59,70,58,187
4,completed,76,90,87,253
3,completed,55,71,71,197
4,completed,78,87,89,254
3,completed,51,53,62,166
3,completed,41,43,45,129
4,none,74,78,86,238
3,none,62,54,58,174
4,none,77,71,64,212
3,none,45,52,45,142
5,completed,100,84,87,271
4,completed,83,95,100,278
5,completed,77,75,82,234
3,completed,66,70,64,200
2,none,65,63,57,185
4,none,62,55,56,173
5,none,55,54,54,163
3,none,73,78,69,220
1,completed,73,81,76,230
2,completed,48,66,68,182
4,none,52,44,49,145
3,none,60,72,64,196
2,none,68,63,57,188
4,none,65,77,83,225
4,none,86,83,87,256
2,none,55,62,60,177
2,completed,80,71,68,219
2,none,51,57,57,165
2,completed,63,61,66,190
5,none,60,55,46,161
5,completed,100,100,100,300
1,none,46,44,44,134
3,completed,67,78,80,225
3,none,54,67,59,180
2,none,63,79,76,218
4,none,68,66,73,207
3,none,54,63,58,175
3,none,43,44,47,134
2,none,64,64,59,187
5,none,92,87,87,266
4,none,82,95,93,270
5,none,84,78,79,241
4,completed,84,98,97,279
4,none,65,63,65,193
3,none,83,92,91,266
2,completed,70,75,75,220
1,completed,66,72,70,208
4,completed,71,87,92,250
2,none,66,64,58,188
2,completed,57,64,68,189
3,none,86,90,93,269
1,none,80,85,83,248
2,none,62,60,59,181
4,none,71,71,76,218
3,completed,57,66,71,194
1,completed,69,64,62,195
2,completed,83,74,72,229
4,none,50,56,60,166
3,none,55,56,56,167
2,none,55,53,51,159
4,completed,83,93,95,271
4,completed,89,87,86,262
4,none,51,62,64,177
3,none,48,52,49,149
5,none,84,95,89,268
3,none,69,83,76,228
3,completed,75,85,87,247
3,none,91,100,99,290
2,none,76,77,67,220
5,none,63,61,59,183
4,none,73,65,64,202
2,completed,52,63,53,168
2,completed,58,57,53,168
2,none,33,51,51,135
5,none,68,62,61,191
3,completed,77,91,89,257
3,none,64,64,66,194
4,none,39,49,48,136
4,none,50,46,48,144
1,none,53,57,51,161
2,completed,54,62,70,186
4,none,74,63,65,202
4,completed,50,63,65,178
5,none,55,54,47,156
3,none,77,64,70,211
2,completed,49,64,67,180
4,none,66,83,82,231
2,completed,77,74,75,226
1,completed,74,78,84,236
3,none,85,78,81,244
1,none,77,86,84,247
2,none,64,62,66,192
4,completed,61,69,68,198
4,none,97,88,85,270
3,completed,66,75,70,211
3,none,62,66,64,192
5,completed,64,80,77,221
2,none,55,57,60,172
2,none,53,72,66,191
4,none,71,81,77,229
2,completed,66,59,68,193
3,none,68,61,62,191
4,none,89,90,83,262
3,completed,65,69,74,208
2,none,43,48,44,135
4,none,79,77,83,239
4,none,99,94,97,290
4,none,82,69,72,223
4,completed,35,36,39,110
4,none,61,71,73,205
4,none,76,80,81,237
3,completed,94,83,82,259
3,none,75,90,78,243
2,none,81,75,70,226
3,none,35,44,33,112
3,none,76,74,72,222
2,none,58,79,82,219
3,completed,100,91,90,281
3,none,53,68,64,185
4,none,82,95,96,273
2,none,76,62,64,202
3,completed,83,75,75,233
4,none,72,84,82,238
4,completed,76,76,83,235
4,none,66,64,58,188
3,none,63,65,63,191
2,none,36,34,28,98
3,none,68,74,71,213
3,completed,40,52,42,134
4,none,68,71,61,200
3,completed,56,54,52,162
4,none,74,83,80,237
4,none,53,70,71,194
2,none,88,65,70,223
4,none,67,63,61,191
2,none,60,76,65,201
3,none,51,61,54,166
4,none,53,66,59,178
1,none,80,78,74,232
5,none,69,71,67,207
2,none,64,79,70,213
4,completed,80,87,89,256
1,none,58,72,62,192
3,none,39,46,50,135
4,none,64,56,50,170
4,none,61,66,63,190
4,completed,90,82,88,260
4,none,73,71,64,208
3,none,73,73,70,216
4,none,67,76,77,220
2,none,57,58,62,177
5,none,65,73,72,210
3,none,71,72,71,214
4,none,59,69,72,200
2,completed,74,71,65,210
5,none,93,100,93,286
2,completed,85,93,92,270
5,none,76,83,79,238
4,none,58,72,70,200
5,none,72,77,77,226
2,none,40,49,47,136
4,completed,75,73,66,214
4,none,85,81,80,246
5,completed,100,100,100,300
2,completed,53,65,66,184
4,none,40,42,39,121
2,none,49,49,49,147
3,none,77,80,80,237
4,none,82,89,84,255
3,none,55,48,42,145
3,none,62,71,77,210
2,completed,69,63,59,191
3,none,78,74,76,228
2,completed,71,77,82,230
4,completed,59,71,66,196
4,none,60,75,70,205
3,completed,43,60,60,163
3,none,77,83,86,246
4,none,50,47,46,143
5,none,56,58,52,166
2,none,69,58,50,177
4,none,47,43,39,129
2,none,43,28,24,95
1,none,48,39,40,127
3,none,55,62,49,166
3,none,73,68,66,207
4,none,71,63,66,200
2,none,54,57,60,171
3,none,66,61,63,190
1,none,63,63,67,193
4,none,66,81,73,220
3,completed,79,80,75,234
4,completed,73,69,70,212
3,none,36,57,53,146
3,none,50,48,43,141
5,completed,87,78,80,245
3,none,71,68,63,202
3,completed,85,87,94,266
3,completed,58,67,64,189
3,none,86,83,81,250
4,none,64,86,89,239
4,none,83,85,79,247
5,completed,58,56,49,163
3,completed,59,83,81,223
3,none,40,58,54,152
4,completed,82,83,85,250
5,none,87,84,80,251
3,none,62,65,64,191
2,completed,76,80,78,234
1,none,63,69,60,192
4,completed,58,60,59,177
4,completed,61,63,65,189
3,none,78,69,71,218
3,completed,78,90,81,249
3,none,56,54,43,153
4,none,96,83,82,261
3,none,48,43,40,131
3,completed,70,76,72,218
4,none,43,68,58,169
5,none,45,46,49,140
3,none,58,68,62,188
1,completed,70,73,80,223
5,none,60,61,58,179
3,none,52,53,47,152
3,none,61,62,54,177
4,none,55,70,61,186
2,completed,80,80,79,239
4,none,63,60,54,177
2,none,79,79,87,245
1,none,74,78,72,224
2,completed,46,58,64,168
2,completed,72,88,92,252
5,none,58,64,64,186
5,none,47,50,47,144
4,completed,68,78,84,230
4,completed,68,71,67,206
4,none,65,75,68,208
2,none,50,54,51,155
2,completed,48,71,68,187
2,none,58,60,64,182
3,completed,71,74,68,213
4,completed,58,52,48,158
1,none,66,90,83,239
3,none,44,53,43,140
2,completed,51,63,66,180
1,completed,78,83,77,238
3,none,72,71,65,208
4,none,60,64,67,191
3,none,55,61,60,176
2,none,64,67,64,195
3,none,57,64,60,181
1,none,70,75,74,219
4,completed,84,72,76,232
2,completed,66,71,76,213
3,completed,56,65,73,194
5,completed,59,53,56,168
5,none,87,89,84,260
5,none,73,75,64,212
1,none,85,91,89,265
2,none,49,54,42,145
3,completed,82,87,90,259
4,none,80,90,90,260
5,none,48,51,43,142
4,completed,85,83,94,262
5,completed,70,78,76,224
5,completed,89,84,81,254
4,completed,72,86,79,237
4,none,80,86,87,253
4,none,43,57,50,150
3,completed,54,61,61,176
1,completed,82,82,78,242
3,none,74,80,78,232
3,none,63,62,64,189
3,none,47,56,51,154
3,none,13,29,23,65
4,none,67,58,56,181
3,none,57,59,54,170
2,none,64,78,83,225
4,none,85,100,100,285
2,completed,70,80,86,236
2,completed,90,73,83,246
1,completed,53,70,69,192
3,completed,74,73,75,222
1,completed,61,71,67,199
3,completed,55,74,73,202
2,completed,65,63,66,194
1,none,77,77,79,233
3,none,74,61,56,191
4,none,94,92,85,271
2,completed,54,64,68,186
